                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2709,                 2.1549,                 1.3574,                      1,                0.46004,                0.81727,                0.64225,                0.67932,                 2.1128,                0.98387,                0.00062,                0.00062,                0.00062
                      2,                 1.2485,                 1.5035,                  1.303,                0.54212,                0.40909,                0.39746,                0.22557,                 1.0893,                 2.3229,                 1.5261,              0.0012538,              0.0012538,              0.0012538
                      3,                 1.2453,                 1.4601,                 1.2961,                0.40104,                0.43939,                 0.3655,                0.21511,                 1.3461,                 2.4335,                  1.813,              0.0018812,              0.0018812,              0.0018812
                      4,                 1.2817,                 1.3262,                 1.3218,                0.63243,                0.51515,                 0.6228,                0.42317,                 1.0814,                 2.2283,                 1.2531,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.2336,                 1.2305,                  1.279,                0.61396,                0.75758,                0.71381,                0.50862,                 0.9251,                 1.5614,                 1.3113,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.2284,                 1.1968,                 1.2492,                0.69659,                0.83488,                0.81679,                0.60385,                0.79193,                 1.2564,                 1.1159,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.2211,                 1.1637,                 1.2715,                0.56232,                0.68182,                0.60043,                0.33478,                 1.1043,                 1.4943,                 1.5221,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.1668,                 1.0567,                 1.2331,                0.72048,                0.68182,                0.77394,                0.54822,                0.87696,                 1.5111,                 1.2441,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.1638,                 1.0125,                 1.2027,                0.87001,                0.81133,                0.86996,                0.68201,                0.78086,                 1.1109,                 1.0591,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.1104,                0.95644,                 1.1974,                 0.8821,                0.83333,                0.92512,                0.73858,                 0.6985,                0.84264,                  1.071,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.1144,                0.95988,                 1.1945,                0.96928,                0.95618,                0.98376,                0.81433,                 0.6207,                0.64561,                 1.0082,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.1023,                0.92536,                  1.191,                0.95162,                0.98485,                0.98353,                0.79092,                0.65905,                0.55769,                 1.0087,               0.001901,               0.001901,               0.001901
                     13,                 1.0942,                0.87754,                 1.1848,                0.90719,                0.88864,                0.95897,                0.78323,                0.65156,                 0.6373,                0.97771,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.0844,                0.85571,                 1.1805,                0.78887,                0.73603,                 0.8049,                0.62703,                0.71978,                 1.0697,                  1.055,              0.0018812,              0.0018812,              0.0018812
                     15,                 1.0732,                0.82781,                 1.1569,                0.77542,                0.74242,                 0.8267,                0.66107,                0.70465,                0.85884,                  1.085,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.0537,                0.83217,                 1.1624,                0.78567,                0.87879,                0.92411,                0.76931,                0.56942,                 0.6625,                 1.0028,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.0644,                0.81267,                 1.1473,                0.87048,                0.75758,                 0.8536,                0.69346,                 0.6873,                0.75802,                 1.0448,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.0609,                0.76854,                 1.1417,                0.95955,                0.93939,                0.98927,                0.84224,                0.59132,                0.48106,                0.98024,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.0685,                 0.7777,                 1.1508,                0.88324,                0.84848,                0.93649,                0.74977,                0.66421,                 0.6439,                 1.0247,              0.0018317,              0.0018317,              0.0018317
                     20,                 1.0044,                0.73095,                 1.1383,                0.87449,                0.93939,                0.95422,                0.80968,                0.60395,                 0.5714,                 1.0025,              0.0018218,              0.0018218,              0.0018218
                     21,                 1.0556,                0.75263,                 1.1503,                0.88208,                0.90909,                0.95142,                0.81322,                0.61389,                0.61307,                 1.0054,              0.0018119,              0.0018119,              0.0018119
                     22,                 1.0081,                0.70945,                 1.1139,                 0.9384,                0.92325,                0.95854,                0.83008,                0.56792,                0.50907,                0.96024,               0.001802,               0.001802,               0.001802
                     23,                 1.0102,                0.73518,                 1.1337,                0.82258,                0.84848,                0.87984,                 0.7612,                0.61305,                0.72035,                0.98583,              0.0017921,              0.0017921,              0.0017921
                     24,                 1.0137,                  0.699,                  1.116,                0.97362,                0.84848,                0.93908,                0.78675,                0.67032,                   0.56,                 1.0312,              0.0017822,              0.0017822,              0.0017822
                     25,                 1.0002,                0.68658,                 1.1136,                 0.8662,                0.78473,                0.86865,                0.67989,                0.70383,                0.68216,                 1.0587,              0.0017723,              0.0017723,              0.0017723
                     26,                0.99821,                0.68723,                 1.1298,                0.95299,                0.92149,                0.96468,                 0.8014,                0.61009,                0.49804,                0.97636,              0.0017624,              0.0017624,              0.0017624
                     27,                0.97807,                0.65632,                  1.101,                0.93413,                0.92424,                0.96951,                0.81283,                0.59742,                0.49872,                0.98227,              0.0017525,              0.0017525,              0.0017525
                     28,                0.96335,                0.64826,                 1.0994,                0.94713,                0.81427,                0.92504,                0.73887,                0.71347,                0.73807,                 1.0949,              0.0017426,              0.0017426,              0.0017426
                     29,                0.98083,                0.66637,                 1.1174,                0.91426,                0.96942,                0.97972,                0.80315,                0.61276,                0.53463,                 1.0046,              0.0017327,              0.0017327,              0.0017327
                     30,                0.96777,                0.65172,                 1.0959,                0.98004,                0.93939,                0.97578,                0.84423,                0.56541,                0.45854,                0.99368,              0.0017228,              0.0017228,              0.0017228
                     31,                0.96993,                 0.6499,                 1.0888,                0.90473,                0.84848,                0.95465,                0.79244,                0.61498,                0.58784,                0.99445,              0.0017129,              0.0017129,              0.0017129
                     32,                0.97295,                0.61895,                 1.1033,                0.98386,                0.92348,                0.98387,                0.86114,                0.53085,                0.52328,                0.91442,               0.001703,               0.001703,               0.001703
                     33,                0.96494,                0.65496,                 1.0948,                0.90797,                0.93939,                0.98145,                0.85903,                0.52833,                0.50073,                0.91178,              0.0016931,              0.0016931,              0.0016931
                     34,                0.96129,                0.64634,                 1.1013,                0.94068,                0.96118,                0.97254,                0.82527,                0.57202,                0.43797,                0.95644,              0.0016832,              0.0016832,              0.0016832
